source,target
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,_IO_putc
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,_IO_putc
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,_IO_putc
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,_IO_putc
process_program_headers,printf
process_program_headers,_IO_putc
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,printable_section_name
process_program_headers,printf
process_program_headers,_IO_putc
process_object,process_dynamic_section
process_dynamic_section,dcgettext
process_dynamic_section,printf
process_object,process_relocs
process_relocs,dcgettext
process_relocs,printf
process_relocs,printable_section_name
process_relocs,printf
process_relocs,dcngettext
process_relocs,printf
process_relocs,get_32bit_elf_symbols
get_32bit_elf_symbols,dcgettext
get_32bit_elf_symbols,get_data
get_data,fseek
get_data,malloc
get_data,fread
get_32bit_elf_symbols,cmalloc
cmalloc,xmalloc
xmalloc,malloc
get_32bit_elf_symbols,free
get_32bit_elf_symbols,free
process_relocs,dcgettext
process_relocs,get_data
get_data,fseek
get_data,malloc
get_data,fread
process_relocs,dump_relocations
dump_relocations,slurp_rel_relocs
slurp_rel_relocs,dcgettext
slurp_rel_relocs,get_data
get_data,fseek
get_data,malloc
get_data,fread
slurp_rel_relocs,cmalloc
cmalloc,xmalloc
xmalloc,malloc
slurp_rel_relocs,free
dump_relocations,dcgettext
dump_relocations,printf
dump_relocations,get_reloc_type
dump_relocations,get_reloc_symindex
dump_relocations,printf
dump_relocations,elf_i386_reloc_type
dump_relocations,printf
dump_relocations,get_symbol_version_string
dump_relocations,printf
dump_relocations,print_vma
print_vma,printf
dump_relocations,printf
dump_relocations,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
dump_relocations,putchar
dump_relocations,free
process_relocs,free
process_relocs,free
process_relocs,dcgettext
process_relocs,printf
process_relocs,printable_section_name
printable_section_name,dcgettext
process_relocs,printf
process_relocs,dcngettext
process_relocs,printf
process_relocs,get_32bit_elf_symbols
get_32bit_elf_symbols,dcgettext
get_32bit_elf_symbols,get_data
get_data,fseek
get_data,malloc
get_data,fread
get_32bit_elf_symbols,cmalloc
cmalloc,xmalloc
xmalloc,malloc
get_32bit_elf_symbols,free
get_32bit_elf_symbols,free
process_relocs,dcgettext
process_relocs,get_data
get_data,fseek
get_data,malloc
get_data,fread
process_relocs,dump_relocations
dump_relocations,slurp_rel_relocs
slurp_rel_relocs,dcgettext
slurp_rel_relocs,get_data
get_data,fseek
get_data,malloc
get_data,fread
slurp_rel_relocs,cmalloc
cmalloc,xmalloc
xmalloc,malloc
slurp_rel_relocs,free
dump_relocations,dcgettext
dump_relocations,printf
dump_relocations,get_reloc_type
dump_relocations,get_reloc_symindex
dump_relocations,printf
dump_relocations,elf_i386_reloc_type
dump_relocations,printf
dump_relocations,get_symbol_version_string
dump_relocations,printf
dump_relocations,print_vma
print_vma,printf
dump_relocations,printf
dump_relocations,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
dump_relocations,putchar
dump_relocations,get_reloc_type
dump_relocations,get_reloc_symindex
dump_relocations,printf
dump_relocations,elf_i386_reloc_type
dump_relocations,printf
dump_relocations,get_symbol_version_string
dump_relocations,printf
dump_relocations,print_vma
print_vma,printf
dump_relocations,printf
dump_relocations,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
dump_relocations,putchar
dump_relocations,get_reloc_type
dump_relocations,get_reloc_symindex
dump_relocations,printf
dump_relocations,elf_i386_reloc_type
dump_relocations,printf
dump_relocations,get_symbol_version_string
dump_relocations,printf
dump_relocations,print_vma
print_vma,printf
dump_relocations,printf
dump_relocations,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
dump_relocations,putchar
dump_relocations,free
process_relocs,free
process_relocs,free
process_object,process_unwind
process_unwind,dcgettext
process_unwind,get_machine_name
process_unwind,printf
process_object,process_symbol_table
process_symbol_table,dcngettext
process_symbol_table,printable_section_name
process_symbol_table,printf
process_symbol_table,dcgettext
process_symbol_table,printf
process_symbol_table,get_32bit_elf_symbols
get_32bit_elf_symbols,dcgettext
get_32bit_elf_symbols,get_data
get_data,fseek
get_data,malloc
get_data,fread
get_32bit_elf_symbols,cmalloc
cmalloc,xmalloc
xmalloc,malloc
get_32bit_elf_symbols,free
get_32bit_elf_symbols,free
process_symbol_table,dcgettext
process_symbol_table,get_data
get_data,fseek
get_data,malloc
get_data,fread
process_symbol_table,printf
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,putchar
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,get_symbol_type
process_symbol_table,printf
process_symbol_table,get_symbol_binding
process_symbol_table,printf
process_symbol_table,get_symbol_visibility
process_symbol_table,printf
process_symbol_table,get_symbol_index_type
process_symbol_table,printf
process_symbol_table,print_symbol
process_symbol_table,get_symbol_version_string
process_symbol_table,putchar
process_symbol_table,printf
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,putchar
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,get_symbol_type
process_symbol_table,printf
process_symbol_table,get_symbol_binding
process_symbol_table,printf
process_symbol_table,get_symbol_visibility
process_symbol_table,printf
process_symbol_table,get_symbol_index_type
process_symbol_table,printf
process_symbol_table,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
process_symbol_table,get_symbol_version_string
process_symbol_table,putchar
process_symbol_table,printf
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,putchar
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,get_symbol_type
process_symbol_table,printf
process_symbol_table,get_symbol_binding
process_symbol_table,printf
process_symbol_table,get_symbol_visibility
process_symbol_table,printf
process_symbol_table,get_symbol_index_type
process_symbol_table,printf
process_symbol_table,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
process_symbol_table,get_symbol_version_string
process_symbol_table,putchar
process_symbol_table,printf
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,putchar
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,get_symbol_type
process_symbol_table,printf
process_symbol_table,get_symbol_binding
process_symbol_table,printf
process_symbol_table,get_symbol_visibility
process_symbol_table,printf
process_symbol_table,get_symbol_index_type
process_symbol_table,printf
process_symbol_table,print_symbol
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
print_symbol,putchar
process_symbol_table,get_symbol_version_string
process_symbol_table,putchar
process_symbol_table,printf
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,putchar
process_symbol_table,print_vma
print_vma,printf
process_symbol_table,get_symbol_type
process_symbol_table,printf
process_symbol_table,get_symbol_binding
process_symbol_table,printf
process_symbol_table,get_symbol_visibility
process_symbol_table,printf
process_symbol_table,get_symbol_index_type
get_symbol_index_type,sprintf
process_symbol_table,printf
process_symbol_table,print_symbol
print_symbol,putchar
